Player,Team,Pos,Fantasy Points Pts,Fantasy Points x-Pts,Fantasy Points +/-,Points Per Game PPG,Points Per Game x-PPG,Points Per Game +/-,#G,Receiving Rec,Receiving X-Rec,Receiving Yds,Receiving X-Yds,Receiving TD,Receiving X-TD,Rushing Yds,Rushing X-Yds,Rushing TD,Rushing X-TD
Christian McCaffrey,CAR,RB,81.9,64.4,17.5,27.3,21.5,5.8,3,17,15.66,149,112.18,1,0.576,225,233.7994,5,3.08
Devin Singletary,BUF,RB,126.6,147.6,-21,7.9,9.2,-1.3,16,38,39.62,269,274.09,0,1.5072,687,673.1044,2,4
Dion Lewis,NYG,RB,51.7,57.1,-5.4,3.2,3.6,-0.3,16,19,22.25,127,174.04,1,1.1808,115,116.1994,2,1.65
Damien Harris,NE,RB,88.8,89.1,-0.3,8.9,8.9,0,10,5,6.18,52,49.51,0,0.096,691,592.2928,2,3.55
Kalen Ballage,LAC,RB,79.4,107.5,-28.1,7.2,9.8,-2.6,11,29,31.49,166,203.91,0,0.8256,303,359.7012,3,5.07
David Montgomery,CHI,RB,237.8,232.8,5,15.9,15.5,0.3,15,54,51.67,438,374.11,2,2.112,1070,1017.3102,8,9.2
Clyde Edwards-Helaire,KC,RB,158,172.2,-14.2,12.2,13.2,-1.1,13,36,40.49,297,282.36,1,2.1408,803,770.066,4,5.65
Devonta Freeman,NYG,RB,32.5,42.7,-10.2,6.5,8.5,-2,5,7,8.8,58,56.85,0,0.6336,172,233.9358,1,0.9
LeSean McCoy,TB,RB,20.7,26.8,-6.1,2.1,2.7,-0.6,10,15,14.16,101,104.01,0,0.7392,31,46.0502,0,0.04
Chris Thompson,JAX,RB,32.6,37.4,-4.8,4.1,4.7,-0.6,8,20,19.5,146,156.76,1,1.1904,20,30.9484,0,0.29
Austin Walter,SF,RB,3.5,1.4,2.1,3.5,1.4,2.1,1,1,0.92,27,4.16,0,0,3,4.0964,0,0.02
Antonio Williams,BUF,RB,20.8,11.1,9.7,20.8,11.1,9.7,1,1,0.81,20,8.2,0,0.0576,63,48.755,2,0.78
Corey Clement,PHI,RB,18.5,19.9,-1.4,1.4,1.5,-0.1,13,5,5.32,25,33.37,0,0,75,89.4936,1,0.83
Jakob Johnson,NE,RB,13.5,13.8,-0.3,0.8,0.9,0,16,8,7.11,35,49.91,1,0.8832,0,0,0,0
Reggie Bonnafon,CAR,RB,15.7,11.2,4.5,7.8,5.6,2.3,2,2,1.6,18,8.12,1,0.6432,69,52.1066,0,0.09
Rodney Smith,CAR,RB,32,34.8,-2.8,4.6,5,-0.4,7,9,8.54,59,67.7,0,0.0096,156,169.6874,1,1.13
Jaylen Samuels,PIT,RB,11.9,18.2,-6.3,1,1.5,-0.5,12,9,11.21,46,75.59,0,0.0768,28,38.2396,0,0.12
Justin Jackson,LAC,RB,53.8,53.9,-0.1,6,6,0,9,19,21.49,173,136.32,0,0.1056,270,263.9826,0,0.41
J.K. Dobbins,BLT,RB,155.5,115.7,39.8,10.4,7.7,2.7,15,18,19.63,120,139.75,0,0.5856,805,554.0728,9,5.5
Myles Hartsfield,CAR,RB,0.2,0.9,-0.7,0.1,0.2,-0.2,4,0,0,0,0,0,0,2,9.4668,0,0
Alvin Kamara,NO,RB,336.3,264.3,72,22.4,17.6,4.8,15,83,85.73,756,611.06,5,3.8688,932,761.7854,16,10.15
Andy Janovich,CLV,RB,2.7,6.8,-4.1,0.2,0.5,-0.3,14,2,3.96,13,29.3,0,0.0288,4,6.1152,0,0.19
Ty Montgomery,NO,RB,14.3,17.5,-3.2,2.9,3.5,-0.6,5,3,4.92,27,36.37,0,0.1824,101,82.2612,0,0.34
Jordan Wilkins,IND,RB,53.3,65.2,-11.9,4.1,5,-0.9,13,12,13.01,105,88.11,0,0.5856,308,363.2574,1,1.68
Tarik Cohen,CHI,RB,14.5,18.8,-4.3,4.8,6.3,-1.4,3,6,7.5,41,55.39,0,0.432,74,56.3304,0,0.21
Khari Blasingame,TEN,RB,5.9,6.2,-0.3,0.4,0.4,0,15,4,4.36,39,40.58,0,0,0,0,0,0
Travis Homer,SEA,RB,28.3,30.9,-2.6,3.1,3.4,-0.3,9,9,8.58,90,52.76,1,0.8544,88,108.1724,0,0.9
Leonard Fournette,TB,RB,114,125.6,-11.6,8.8,9.7,-0.9,13,36,38.92,233,263.34,0,1.824,367,396.029,6,4.87
Dwayne Washington,NO,RB,1.5,3.8,-2.3,0.8,1.9,-1.1,2,0,0,0,0,0,0,15,36.6422,0,0.02
A.J. Dillon,GB,RB,39.3,27,12.3,4.4,3,1.4,9,2,1.68,21,13.26,0,0.1344,242,202.9286,2,0.63
Brian Hill,ATL,RB,84.9,85.8,-0.9,5.3,5.4,-0.1,16,25,23.56,199,184.3,0,0.4032,465,439.726,1,1.54
Devontae Booker,LV,RB,77.2,76.9,0.3,4.8,4.8,0,16,17,17.87,84,120.84,0,0.8448,423,396.7922,3,1.86
Jerick McKinnon,SF,RB,109.7,109.4,0.3,7.3,7.3,0,15,33,35.46,253,298.36,1,1.4496,319,348.6852,5,3.05
Jalen Richard,LV,RB,41.6,41,0.6,3.2,3.2,0,13,19,17.99,138,145.43,0,0.768,123,96.481,1,0.53
D'Andre Swift,DET,RB,170.8,152.6,18.2,13.1,11.7,1.4,13,46,46.03,357,324.77,2,2.4,521,472.3714,8,5.91
Malcolm Brown,LA,RB,99.6,109.7,-10.1,6.2,6.9,-0.6,16,23,27.44,162,196.23,0,0.8448,419,414.816,5,4.96
Ezekiel Elliott,DAL,RB,205.7,252.2,-46.5,13.7,16.8,-3.1,15,52,58.75,338,408.84,2,1.4688,979,1000.7318,6,12.17
Bo Scarbrough,SEA,RB,3.1,2.8,0.3,3.1,2.8,0.3,1,0,0,0,0,0,0,31,26.2248,0,0.03
Sony Michel,NE,RB,71.8,52.8,19,8,5.9,2.1,9,7,6.68,114,47.87,1,0.0096,449,343.0102,1,1.72
J.D. McKissic,WAS,RB,153.4,173.8,-20.4,9.6,10.9,-1.3,16,80,86.65,589,649.88,2,2.6304,365,366.7164,1,2.18
Saquon Barkley,NYG,RB,12.4,25.1,-12.7,6.2,12.6,-6.4,2,6,6.52,60,54.3,0,0.8928,34,78.2334,0,0.53
Cam Akers,LA,RB,98.3,118.6,-20.3,7.6,9.1,-1.6,13,11,10.9,123,94.71,1,0.816,625,594.4002,2,6.56
Matt Breida,MIA,RB,39.5,40.3,-0.8,4,4,-0.1,10,9,7.96,96,61.21,0,0.0576,254,252.5656,0,0.77
Gabe Nabers,LAC,RB,17.7,12.5,5.2,1.1,0.8,0.3,16,5,5.42,25,30.41,2,0.9696,7,9.065,0,0.01
Dexter Williams,GB,RB,0.8,0.9,-0.1,0.4,0.5,0,2,0,0,0,0,0,0,8,9.2512,0,0
Gus Edwards,BLT,RB,125.7,110.5,15.2,7.9,6.9,1,16,9,8.82,129,79.45,0,0.4896,723,592.1478,6,6
Craig Reynolds,JAX,RB,1.2,1.5,-0.3,1.2,1.5,-0.3,1,1,0.86,3,6.12,0,0,4,4.655,0,0
Kenjon Barner,TB,RB,0,1.1,-1.1,0,0.4,-0.4,3,0,0.82,0,6.82,0,0,0,0,0,0
Darwin Thompson,KC,RB,31.7,27.1,4.6,6.3,5.4,0.9,5,7,8.66,65,44.23,1,0.4032,97,114.533,1,0.74
Giovani Bernard,CIN,RB,136.6,149.3,-12.7,8.5,9.3,-0.8,16,47,48.93,355,344.81,3,2.6304,416,535.178,3,3.51
Alex Armah,CAR,RB,5.2,16.4,-11.2,0.3,1,-0.7,16,5,6.25,18,37.52,0,0.7584,9,17.983,0,0.53
Chase Edmonds,ARZ,RB,141.5,138.4,3.1,8.8,8.7,0.2,16,53,53.6,402,401.26,4,3.2832,448,409.6894,1,1.8
Mark Ingram II,BLT,RB,49.9,51.7,-1.8,4.5,4.7,-0.2,11,6,5.92,50,41.85,0,0.3744,299,303.4182,2,2
Jason Huntley,PHI,RB,2.4,4.5,-2.1,0.6,1.1,-0.5,4,1,1.8,0,11.18,0,0,19,22.5792,0,0.03
Ke'Shawn Vaughn,TB,RB,22.8,27.9,-5.1,3.3,4,-0.7,7,5,7.42,34,61.18,1,0.5664,109,113.3664,0,0.55
Taiwan Jones,BUF,RB,0,5.4,-5.4,0,1.4,-1.4,4,0,0.64,0,14.16,0,0.6144,0,0,0,0
Jonathan Taylor,IND,RB,236.8,198.9,37.9,15.8,13.3,2.5,15,36,33.56,299,218.45,1,0.7296,1169,946.5452,11,10.2
Jonathan Williams,DET,RB,4.6,4.6,0,2.3,2.3,0,2,4,3.53,21,24,0,0,5,4.704,0,0
Boston Scott,PHI,RB,83.1,83.3,-0.2,5.2,5.2,0,16,25,25.02,212,195.48,1,0.7872,374,340.4912,1,2.08
Dalvin Cook,MIN,RB,315.8,271.7,44.1,22.6,19.4,3.2,14,44,45.57,361,283.88,1,0.6528,1557,1286.7636,16,14.65
James Conner,PIT,RB,147.1,158.7,-11.6,11.3,12.2,-0.9,13,35,34.73,215,238.69,0,1.5552,721,704.6706,6,6.27
Peyton Barber,WAS,RB,53,77.7,-24.7,3.3,4.9,-1.5,16,4,7.07,12,58.56,0,0,258,387.2784,4,4.93
Bruce Miller,JAX,RB,0.7,2.2,-1.5,0.1,0.3,-0.2,8,1,1.86,2,12.51,0,0.0096,0,0,0,0
Darrynton Evans,TEN,RB,15.1,20.1,-5,3,4,-1,5,2,2.54,27,16.13,1,0.4512,54,49.9314,0,1.58
Mike Davis,CAR,RB,179,195.3,-16.3,11.9,13,-1.1,15,59,56.85,373,362.81,2,2.8128,642,675.6438,6,7.7
D'Ernest Johnson,CLV,RB,19.5,21.1,-1.6,1.8,1.9,-0.1,11,3,3.35,14,21.71,0,0.2496,166,150.1164,0,0.13
Austin Ekeler,LAC,RB,138.3,141.6,-3.3,13.8,14.2,-0.3,10,54,52.03,403,339.95,2,2.3808,530,497.8008,1,2.92
Buddy Howell,HST,RB,7.2,9.9,-2.7,1,1.4,-0.4,7,1,1.39,3,12.08,0,0.0384,64,73.5588,0,0.07
Ito Smith,ATL,RB,48.8,67.3,-18.5,3.5,4.8,-1.3,14,17,18.06,75,114.88,0,1.872,268,274.1162,1,1.36
Jeff Wilson Jr.,SF,RB,139.8,119.3,20.5,12.7,10.8,1.9,11,13,19.13,133,140.12,3,1.6224,600,525.2326,7,5.57
Rex Burkhead,NE,RB,95.1,82.7,12.4,9.5,8.3,1.2,10,25,24.83,192,181.7,3,1.2768,274,268.5302,3,2.93
Trayveon Williams,CIN,RB,21.2,17.4,3.8,3.5,2.9,0.6,6,5,4.44,30,27.28,0,0.0288,157,116.5808,0,0.11
Theo Riddick,LV,RB,8.2,10.6,-2.4,2,2.6,-0.6,4,5,4.71,43,33.26,0,0.3168,14,26.8324,0,0.06
Ty Johnson,NYJ,RB,55.3,56.9,-1.6,5,5.2,-0.1,11,16,17.43,99,133.25,1,0.2496,254,229.2616,1,1.74
Josh Jacobs,LV,RB,218.8,239.9,-21.1,14.6,16,-1.4,15,33,35.37,238,274.92,0,0.8064,1065,1111.2346,12,13.12
Ameer Abdullah,MIN,RB,26,16.9,9.1,2.6,1.7,0.9,10,8,6.98,58,45.3,2,0.6624,42,33.7218,0,0.26
Nyheim Hines,IND,RB,160.2,157.6,2.6,10,9.8,0.2,16,64,62.28,482,430.42,4,3.1008,380,356.769,3,4.86
Samaje Perine,CIN,RB,60.2,53.4,6.8,4.6,4.1,0.5,13,11,9.54,66,50.48,0,0.5952,301,258.5734,3,2.36
Antonio Gibson,WAS,RB,188.2,163.4,24.8,13.4,11.7,1.8,14,36,37.74,247,247.33,0,0.9024,795,716.6944,11,7.12
Tevin Coleman,SF,RB,10.7,23.2,-12.5,1.3,2.9,-1.6,8,4,3.63,34,27.39,0,0.2016,53,121.6674,0,0.88
Artavis Pierce,CHI,RB,9.4,4.8,4.6,2.4,1.2,1.2,4,0,0,0,0,0,0,34,23.2358,1,0.41
Devine Ozigbo,JAX,RB,8.8,10.4,-1.6,1.5,1.7,-0.3,6,9,7.81,42,51.6,0,0.144,1,4.753,0,0
Salvon Ahmed,MIA,RB,61.5,66.6,-5.1,10.3,11.1,-0.8,6,11,11.21,61,69.67,0,0.3168,319,298.4406,3,3.72
Phillip Lindsay,DEN,RB,62.5,76.6,-14.1,5.7,7,-1.3,11,7,9.43,28,65.86,0,0.2976,502,532.7476,1,1.7
DeAndre Washington,MIA,RB,14.6,34.1,-19.5,3.6,8.5,-4.9,4,5,7.02,30,62.62,0,0.3264,91,125.2346,0,1.64
Darrel Williams,KC,RB,43.5,48.6,-5.1,2.7,3,-0.3,16,18,22.41,116,145.32,0,0.72,169,164.6204,1,0.35
