Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season,Value
1,Derrick Henry ,TEN,RB,26,16,16,0,0,0,0,0,378,2027,5.36,17,31,19,114,6.0,0,3,2,17,1.0,0.0,314.0,333.1,341.1,323.6,184.0,1,1.0,2020,RB1
2,Alvin Kamara ,NOR,RB,25,15,10,0,0,0,0,0,187,932,4.98,16,107,83,756,9.11,5,1,0,21,0.0,0.0,295.0,377.8,383.8,336.3,165.0,2,2.0,2020,RB1
3,Dalvin Cook,MIN,RB,25,14,14,0,0,0,0,0,312,1557,4.99,16,54,44,361,8.2,1,5,3,17,3.0,0.0,294.0,337.8,346.8,315.8,164.0,3,3.0,2020,RB1
12,Jonathan Taylor,IND,RB,21,15,13,0,0,0,0,0,232,1169,5.04,11,39,36,299,8.31,1,1,1,12,0.0,0.0,217.0,252.8,259.8,234.8,87.0,4,12.0,2020,RB1
13,Aaron Jones,GNB,RB,26,14,14,0,0,0,0,0,201,1104,5.49,9,63,47,355,7.55,2,2,0,11,0.0,0.0,212.0,258.9,264.9,235.4,82.0,5,13.0,2020,RB1
15,David Montgomery,CHI,RB,23,15,14,0,0,0,0,0,247,1070,4.33,8,68,54,438,8.11,2,1,1,10,1.0,0.0,211.0,264.8,271.8,237.8,81.0,6,15.0,2020,RB1
18,James Robinson,JAX,RB,22,14,14,0,0,0,0,0,240,1070,4.46,7,60,49,344,7.02,3,3,1,10,1.0,0.0,201.0,250.4,257.4,225.9,71.0,7,18.0,2020,RB1
19,Josh Jacobs,LVR,RB,22,15,15,0,0,0,0,0,273,1065,3.9,12,45,33,238,7.21,0,2,2,12,0.0,0.0,198.0,231.3,239.3,214.8,68.0,8,19.0,2020,RB1
22,Nick Chubb,CLE,RB,25,12,12,0,0,0,0,0,190,1067,5.62,12,18,16,150,9.38,0,1,1,12,0.0,0.0,192.0,207.7,214.7,199.7,62.0,9,22.0,2020,RB1
31,Kareem Hunt,CLE,RB,25,16,5,0,0,0,0,0,198,841,4.25,6,51,38,304,8.0,5,2,0,11,0.0,0.0,181.0,218.5,224.5,199.5,50.0,10,31.0,2020,RB1
33,Ezekiel Elliott,DAL,RB,25,15,15,0,0,0,0,0,244,979,4.01,6,71,52,338,6.5,2,6,5,8,1.0,0.0,172.0,223.7,234.7,197.7,42.0,11,33.0,2020,RB1
35,Kenyan Drake,ARI,RB,26,15,13,0,0,0,0,0,239,955,4.0,10,31,25,137,5.48,0,3,1,10,0.0,0.0,167.0,192.2,199.2,179.7,37.0,12,35.0,2020,RB1
36,Melvin Gordon,DEN,RB,27,15,10,0,0,0,0,0,215,986,4.59,9,44,32,158,4.94,1,4,4,10,0.0,0.0,166.0,198.4,208.4,182.4,36.0,13,36.0,2020,RB2
37,Antonio Gibson,WAS,RB,22,14,10,0,0,0,0,0,170,795,4.68,11,44,36,247,6.86,0,2,2,11,0.0,0.0,166.0,202.2,210.2,184.2,36.0,14,37.0,2020,RB2
41,Ronald Jones II,TAM,RB,23,14,13,0,0,0,0,0,192,978,5.09,7,42,28,165,5.89,1,2,2,8,0.0,0.0,158.0,186.3,194.3,172.3,28.0,15,41.0,2020,RB2
47,Chris Carson,SEA,RB,26,12,12,0,0,0,0,0,141,681,4.83,5,46,37,287,7.76,4,1,0,9,0.0,0.0,151.0,187.8,193.8,169.3,21.0,16,47.0,2020,RB2
48,J.K. Dobbins,BAL,RB,22,15,1,0,0,0,0,0,134,805,6.01,9,24,18,120,6.67,0,2,0,9,2.0,0.0,151.0,168.5,174.5,159.5,20.0,17,48.0,2020,RB2
54,Mike Davis,CAR,RB,27,15,12,0,0,0,0,0,165,642,3.89,6,70,59,373,6.32,2,1,1,8,0.0,0.0,148.0,206.5,213.5,177.0,17.0,18,54.0,2020,RB2
55,David Johnson,HOU,RB,29,12,12,0,0,0,0,0,147,691,4.7,6,46,33,314,9.52,2,2,1,8,0.0,0.0,147.0,179.5,186.5,163.0,16.0,19,55.0,2020,RB2
59,D'Andre Swift,DET,RB,21,13,4,0,0,0,0,0,114,521,4.57,8,57,46,357,7.76,2,3,2,10,0.0,0.0,144.0,189.8,197.8,166.8,14.0,20,59.0,2020,RB2
60,Miles Sanders,PHI,RB,23,12,11,0,0,0,0,0,164,867,5.29,6,52,28,197,7.04,0,4,2,6,2.0,0.0,142.0,170.4,178.4,156.4,12.0,21,60.0,2020,RB2
65,Clyde Edwards-Helaire,KAN,RB,21,13,13,0,0,0,0,0,181,803,4.44,4,54,36,297,8.25,1,0,0,5,0.0,0.0,140.0,176.0,182.0,158.0,10.0,22,65.0,2020,RB2
68,Todd Gurley,ATL,RB,26,15,15,0,0,0,0,0,195,678,3.48,9,34,25,164,6.56,0,2,0,9,0.0,0.0,138.0,163.2,169.2,150.7,8.0,23,68.0,2020,RB2
78,Nyheim Hines,IND,RB,24,16,2,0,0,0,0,0,89,380,4.27,3,76,63,482,7.65,4,0,0,7,1.0,0.0,130.0,193.2,199.2,161.7,0.0,24,78.0,2020,RB2
101,James Conner,PIT,RB,25,13,11,0,0,0,0,0,169,721,4.27,6,43,35,215,6.14,0,2,0,6,0.0,0.0,130.0,164.6,170.6,147.1,0.0,25,0.0,2020,RB3
102,Jeff Wilson,SFO,RB,25,12,3,0,0,0,0,0,126,600,4.76,7,28,13,133,10.23,3,2,2,10,0.0,0.0,129.0,142.3,150.3,135.8,0.0,26,0.0,2020,RB3
106,Myles Gaskin,MIA,RB,23,10,7,0,0,0,0,0,142,584,4.11,3,47,41,388,9.46,2,2,2,5,0.0,0.0,123.0,164.2,172.2,143.7,0.0,27,0.0,2020,RB3
107,Gus Edwards,BAL,RB,25,16,6,0,0,0,0,0,144,723,5.02,6,13,9,129,14.33,0,1,1,6,0.0,0.0,119.0,128.2,135.2,123.7,0.0,28,0.0,2020,RB3
109,Wayne Gallman,NYG,RB,26,15,10,0,0,0,0,0,147,682,4.64,6,27,21,114,5.43,0,1,0,6,0.0,0.0,116.0,136.6,142.6,126.1,0.0,29,0.0,2020,RB3
112,Chase Edmonds,ARI,RB,24,16,2,0,0,0,0,0,97,448,4.62,1,67,53,402,7.58,4,2,0,5,0.0,0.0,115.0,168.0,174.0,141.5,0.0,30,0.0,2020,RB3
115,Darrell Henderson,LAR,RB,23,15,11,0,0,0,0,0,138,624,4.52,5,24,16,159,9.94,1,0,0,6,0.0,0.0,114.0,130.3,136.3,122.3,0.0,31,0.0,2020,RB3
117,Latavius Murray,NOR,RB,30,15,7,0,0,0,0,0,146,656,4.49,4,26,23,176,7.65,1,1,0,5,0.0,0.0,113.0,136.2,142.2,124.7,0.0,32,0.0,2020,RB3
118,Adrian Peterson,DET,RB,35,16,10,0,0,0,0,0,156,604,3.87,7,18,12,101,8.42,0,0,0,7,0.0,0.0,113.0,124.5,130.5,118.5,0.0,33,0.0,2020,RB3
119,Giovani Bernard,CIN,RB,29,16,10,0,0,0,0,0,124,416,3.35,3,59,47,355,7.55,3,1,1,6,0.0,0.0,111.0,158.1,165.1,134.6,0.0,36,0.0,2020,RB3
120,Austin Ekeler,LAC,RB,25,10,10,0,0,0,0,0,116,530,4.57,1,65,54,403,7.46,2,1,0,3,0.0,0.0,111.0,165.3,171.3,138.3,0.0,35,0.0,2020,RB3
