Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season,Value
5,Travis Kelce,KAN,TE,31,15,15,1,2,4,0,0,0,0,0.0,0,145,105,1416,13.49,11,1,1,11,1.0,0.0,208.0,312.8,316.8,260.3,117.0,1,5.0,2020,TE1
14,Darren Waller,LVR,TE,28,16,15,0,0,0,0,0,0,0,0.0,0,145,107,1196,11.18,9,2,2,9,1.0,0.0,172.0,278.6,283.6,225.1,81.0,2,14.0,2020,TE1
39,Robert Tonyan,GNB,TE,26,16,8,0,0,0,0,0,0,0,0.0,0,59,52,586,11.27,11,0,0,11,0.0,0.0,125.0,176.6,179.6,150.6,34.0,3,39.0,2020,TE1
46,Mark Andrews,BAL,TE,25,14,2,0,0,0,0,0,0,0,0.0,0,88,58,701,12.09,7,2,0,7,0.0,0.0,112.0,170.1,173.1,141.1,22.0,4,46.0,2020,TE1
52,T.J. Hockenson ,DET,TE,23,16,16,0,0,0,0,0,1,0,0.0,0,101,67,723,10.79,6,1,1,6,1.0,0.0,108.0,175.3,179.3,141.8,18.0,5,52.0,2020,TE1
56,Mike Gesicki,MIA,TE,25,15,9,0,0,0,0,0,0,0,0.0,0,85,53,703,13.26,6,0,0,6,0.0,0.0,106.0,159.3,162.3,132.8,16.0,6,56.0,2020,TE1
57,Logan Thomas,WAS,TE,29,16,15,1,1,28,0,0,3,5,1.67,0,110,72,670,9.31,6,0,0,6,0.0,0.0,105.0,176.6,179.6,140.6,14.0,7,57.0,2020,TE1
58,Rob Gronkowski,TAM,TE,31,16,16,0,0,0,0,0,0,0,0.0,0,77,45,623,13.84,7,1,0,7,0.0,0.0,104.0,149.3,152.3,126.8,14.0,8,58.0,2020,TE1
67,Jonnu Smith,TEN,TE,25,15,14,0,0,0,0,0,2,4,2.0,1,65,41,448,10.93,8,0,0,9,0.0,0.0,99.0,140.2,143.2,119.7,9.0,9,67.0,2020,TE1
70,Jimmy Graham,CHI,TE,34,16,15,0,0,0,0,0,0,0,0.0,0,76,50,456,9.12,8,1,0,8,0.0,0.0,94.0,143.6,146.6,118.6,3.0,10,70.0,2020,TE1
72,Hayden Hurst,ATL,TE,27,16,9,0,0,0,0,0,0,0,0.0,0,88,56,571,10.2,6,0,0,6,0.0,0.0,93.0,149.1,152.1,121.1,3.0,11,72.0,2020,TE1
